"county","jail_2014","jail_1970","jail_1980","jail_1990","jail_2000","black_1990","black_2000","black_2014","black_2010","jail_2010"
12027,721.4,549.24,297.28,514.44,594.68,1784.18,2593.76,1081.73,1452.7,689.59
12029,692.49,122.93,324.95,204.68,829.8,699.52,3110.14,821.92,1802.88,728.64
12031,552.2,274.56,272.97,452.55,503.25,1307.6,1280.92,1178.3,1378.51,633.12
12033,753.89,255.01,236.78,582.82,659.57,1737.06,2061.42,1081.89,1842.66,800.2
12035,226.3,674.07,251.84,271.68,292.4,1171.94,1093.92,602.6,571.82,228.35
12037,858.2,203.82,139.33,344.7,1315.59,1781.64,4347.83,983.84,1182.56,712.46
12039,673.4,170.44,228.16,365.29,505.66,650.99,769.09,1126.35,928.29,508.28
12041,347.7,326.49,56.66,279,276.24,913.24,402.37,544.22,539.81,275.82
12043,1934.67,964.63,281.91,240.75,439.06,1808.32,626.71,6712.43,4355.63,3000.87
12045,350.88,65.23,175.46,451.46,349.06,1887.58,0,0,0,350.88
12047,470.91,550.21,300.49,839.79,603.81,1874.29,1398.27,989.81,1052.08,529.92
12049,561.15,340.99,323.71,624.04,620.59,2110.39,775.9,1458.89,1458.89,568.86
12051,699.53,422,193.39,611.84,622.14,1296.69,2039,1699.62,2097.93,657.71
12053,432.73,693.73,150.11,296.68,325.21,3068.83,2787.99,1297.58,1991.07,643.91
12055,784.4,377.1,196.22,393.01,644.75,1403.06,2354.37,1919.58,2220.9,773.82
12057,315.27,153.73,254.23,346.79,475.52,1411.67,1821.74,871,1038.45,394.15
12059,628.68,15.48,87.33,149.28,284.37,337.84,210.56,354.3,536.59,629.9
12061,552.55,277.49,164.36,496.93,603.86,2154.9,4109.36,1770.97,2190.05,600.06
12063,588.14,236.14,148.72,332.15,607.56,851.13,1314.26,891.25,1187.13,610.32
12065,383.44,123.58,96.15,320.75,654.31,653.83,1484.54,681.89,896.98,490.05
12067,327.71,415.68,216.78,208.39,309.59,330.58,655.54,333.89,285.43,357.37
12069,436.9,300.17,208.48,234.33,449.23,1689.86,2286.51,1182.83,1614.87,568.13
12071,416.61,192,154.06,342.39,436.2,2150.88,2190.43,1279.27,1530.1,478.44
12073,544.09,164.49,147.42,330.48,572.7,817.33,1454.38,1097.8,1225.05,473.94
12075,511.35,162.05,115.64,318.43,449.13,1492.22,1773.2,1944.56,1499.6,605.31
12077,847.18,244.98,96.62,187.79,382.38,0,819.16,964.39,851.82,726.21
12079,389.99,174.98,129.78,223.55,620.05,494.43,888.61,725.21,966.17,495.27
