"point_id","x","y","total_1860","total_1830","slaves_1830","total_1790","slaves_1790","slaves_1860","free_blacks_1860","total_1910","black_1910","total_1970","jail_1970","black_1970","total_2010","black_2010","jail_2010","jail_black_2010","total_2014","total_prison_2014","black_2014","jail_2014","jail_black_2014","prison_2014"
8190,-1918975.149,-35794.0113,59.0180206,0,0,0,0,0,0.217834,713.3943481,8.0557699,460.4898376,0.886432648,8.36561203,1175.322998,69.44380951,4.347626209,0.651918769,1181.677734,1181.677734,108.4913177,5.634226322,1.039549232,0.200690001
6146,-1104704.429,295003.4687,14.1788912,0,0,0,0,0,0,696.9459229,3.9829459,1147.968994,1.127546072,0.633120894,1133.668335,7.469464779,4.333485127,0.210171193,1181.998901,1181.998901,6.949317932,4.137351513,0.093917802,0.206537888
91,-1537285.749,1440071.669,1.6714079,0,0,0,0,0,0.0032704,1028.162109,1.1361328,1314.956299,1.931321502,0.425799787,1196.171997,6.672223091,3.769248962,0.27041021,1182.351074,1182.351074,20.10711288,3.47262907,0.836854339,0.119294405
7457,-341325.629,91435.7887,0,0,0,0,0,0,0,1089.329102,10.5058775,930.3848877,0.187267706,3.920059204,1149.766846,8.403216362,2.221245527,0,1182.383179,1182.383179,19.20864296,2.265275717,0,0.063537903
12414,-315879.669,-1002740.491,0,0,0,0,0,0,0,794.2422485,15.5602503,838.9152222,0,1.505749941,1152.094727,7.529000282,0,0,1183.716309,1183.716309,16.22900009,0,0,0.31674999
12415,-290433.709,-1002740.491,0,0,0,0,0,0,0,794.2422485,15.5602503,838.9152222,0,1.505749941,1152.094727,7.529000282,0,0,1183.716309,1183.716309,16.22900009,0,0,0.31674999
12443,-315879.669,-1028186.451,0,0,0,0,0,0,0,794.2422485,15.5602503,838.9152222,0,1.505749941,1152.094727,7.529000282,0,0,1183.716309,1183.716309,16.22900009,0,0,0.31674999
12444,-290433.709,-1028186.451,0,0,0,0,0,0,0,794.2422485,15.5602503,838.9152222,0,1.505749941,1152.094727,7.529000282,0,0,1183.716309,1183.716309,16.22900009,0,0,0.31674999
7572,-1435501.909,65989.8287,61.7341347,0,0,0,0,0,0.0290646,105.3777771,0.2712696,436.5704956,0.551339626,9.926067352,1162.315674,5.502039909,27.09013367,1.709515333,1183.777222,1183.777222,26.86244202,37.67327499,9.050420761,0.158850595
316,-1460947.869,1312841.869,1.7887499,0,0,0,0,0,0.0035,323.2086182,1.5419948,806.9124756,0.416078985,0.142205998,1175.351196,4.072921753,2.072302103,0,1185.145996,1185.145996,3.811498642,0.598535657,0,0.094952397
8692,-1257380.189,-112131.8913,39.4980011,0,0,0,0,0,0,276.380127,0.8458004,1131.167725,1.154049993,21.08239746,1145.861572,7.826708317,4.716906071,0.090213597,1185.777588,1185.777588,1.794519663,4.568470955,0.017200802,0.396795988
