"county","black_pop_1980","total_pop_1980","black_pop_2010","total_pop_2010","black_pop_2000","total_pop_2000","black_pop_1960","total_pop_1960","black_pop_1910","total_pop_1910"
28073,2562,23821,10883,55658,5040,39070,2231,13675,3619,11741
28075,24233,77285,34330,80261,29838,78161,23464,67119,21875,46919
28077,3866,12518,3974,12929,4252,13258,3861,10215,5147,13080
28079,6556,18790,9654,23805,7835,20940,7582,18660,6171,18298
28081,11651,57061,22619,82910,18566,75755,10284,40589,10667,28894
28083,24553,41525,23342,32317,25701,37947,30307,47142,30628,36290
28085,9043,30174,10443,34869,9839,33166,8340,26759,12054,28597
28087,19583,57304,25993,59779,25594,61586,17743,46639,21784,30703
28089,23255,41613,36368,95203,27987,74674,23630,32904,27298,33505
28091,7691,25708,8752,27088,8156,25595,7883,23293,6063,15599
28093,15577,29296,17439,37144,17622,34993,17239,24503,19342,26796
28095,10813,36404,11420,36989,11698,38014,12012,33953,19535,35178
28097,5473,13366,4967,10925,5479,12189,5968,13320,8927,17706
28099,4266,23789,6207,29676,5546,28684,4686,20927,2949,17980
28101,5430,19944,6567,21720,6632,21838,6183,19517,8950,23085
28103,8534,13212,8262,11545,8696,12548,12064,16826,23947,28503
28105,12355,36018,17431,47671,16059,42902,11435,26175,12675,19676
28107,13785,28164,16875,34707,16575,34274,16216,28791,21224,31274
28109,5032,33795,6872,55834,5924,48621,5177,22411,2422,10593
28111,2141,9864,2451,12250,2742,12138,2411,8745,2581,7685
28113,15666,36173,20813,40404,18507,38940,15397,35063,17597,37272
28115,3259,20918,4131,29957,3735,26726,3284,17232,4727,19688
28117,2590,24025,3488,25276,3308,25556,2185,17949,2875,16931
28119,7074,12636,5724,8223,6942,10117,13254,21019,8864,11593
28121,12901,69427,26634,141617,19743,115327,12806,34322,14249,23944
28123,8603,24556,10585,28264,11052,28423,8089,21187,6896,16723
28125,5229,7964,3490,4916,4561,6580,7469,10738,13967,15694
28127,7207,23441,9666,27503,9484,27639,7194,20454,5969,17201
28129,3189,15077,3776,16491,3739,16182,3235,14303,2899,16603
28131,2195,9716,3404,17786,2613,13622,1709,7013,NULL,NULL
28133,21611,34844,21479,29450,24010,34369,30855,45750,23281,28787
28135,9823,17157,8679,15378,8857,14903,15400,24081,20180,29078
28137,7735,20119,8755,28886,7870,25370,10439,18138,11535,19714
28139,2978,18739,3544,22232,3316,20826,2743,15093,2801,14631
28141,683,18434,519,19593,596,19163,677,13889,1089,13067
28143,7050,9652,7918,10778,6473,9227,13315,16826,16910,18646
28145,3000,21741,3935,27134,3791,25362,3312,18904,4216,18997
28147,5646,13761,6873,15443,6682,15156,6099,13512,NULL,NULL
28149,19301,51627,22920,48773,21439,49644,19660,42206,26191,37488
28151,40216,72344,36468,51137,40667,62977,43097,78638,41600,48933
28153,6405,19135,8071,20747,8065,21216,5799,16258,5843,14709
28155,2014,10300,2040,10253,2155,10294,2619,10580,3286,14853
28157,6708,10021,6992,9878,7034,10312,9428,13235,13904,18075
28159,7637,19474,8753,19198,8719,20160,8278,19246,6863,17139
28161,5015,13139,4805,12678,5045,13051,5538,12502,11182,21519
28163,14051,27349,16013,28065,15189,28149,18759,31653,35502,46672
29001,311,24870,408,25607,299,24977,70,20105,216,22700
29003,9,13980,72,17291,69,16492,5,11062,130,15282
29005,44,8605,17,5685,132,6430,3,9213,14,13604
29007,1486,26458,1646,25529,1859,25853,1654,26079,1617,21687
29009,5,24408,107,35597,39,34010,5,18921,6,23869
29011,2,11292,47,12402,36,12541,1,11113,24,16747
29013,121,15873,150,17049,101,16653,134,15905,238,25869
29015,14,12183,58,19056,25,17180,22,8737,136,14881
29017,0,10301,32,12363,25,12029,0,9167,30,14576
29019,6401,100376,15111,162642,11572,135454,3268,55202,4185,30533
29021,2619,87888,4662,89201,3751,85998,2582,90581,4457,93020
29023,1891,37693,2256,42794,2132,40867,2511,34656,1372,20624
29025,4,8660,40,9424,12,8969,5,8830,278,14605
29027,1689,32252,2032,44332,2307,40766,2028,23858,3514,24400
29029,30,20017,179,44002,95,37051,11,9116,46,11582
29031,2231,58837,5330,75674,3624,68693,1192,42020,1990,27621
29033,268,12131,154,9295,177,10285,258,13847,1019,23098
29035,0,5428,7,6265,5,5941,0,3973,2,5504
29037,404,51029,3517,99478,1166,82092,307,29702,510,22973
29039,1,11894,14,13982,44,13733,0,9185,13,16080
29041,517,10489,156,7831,269,8438,852,12720,2232,23503
29043,10,22402,449,77422,145,54285,4,12359,51,15832
29045,6,8493,19,7139,5,7416,8,8725,50,12811
29047,1449,136488,11506,221939,4894,184006,723,87474,1052,20302
29049,336,15916,290,20743,288,18979,331,11588,769,15297
29051,4223,56663,8512,75990,7084,71397,3161,40761,2157,21957
29053,891,14643,1207,17601,1493,16670,1196,15448,2878,20311
29055,3,18300,67,24696,33,22804,4,12647,35,13576
29057,15,7383,30,7883,21,7923,66,7577,235,15613
29059,15,12096,35,16777,19,15661,0,9314,2,13181
29061,6,8905,23,8433,4,8016,30,9502,258,17605
29063,0,8222,1459,12892,1028,11597,0,7226,64,12531
29065,0,14517,55,15657,59,14927,1,10445,18,13245
29067,4,11594,30,13684,14,13084,2,9653,8,16664
29069,2293,36324,3105,31953,2879,33155,1613,39139,96,30328
29071,696,71233,854,101492,882,93807,543,44566,1365,29830
29073,6,13181,27,15222,18,15342,2,12195,41,12847
29075,0,7887,21,6738,8,6861,4,8793,11,16820
29077,3004,185302,7892,275174,5426,240391,2358,126276,2625,63831
29079,10,11959,59,10261,42,10432,18,12220,159,16744
29081,0,9890,30,8957,12,8850,1,11603,28,20466
29083,227,19672,226,22272,225,21997,238,19226,842,27242
29085,1,6367,25,9627,7,8940,0,4516,7,8741
29087,5,6882,8,4912,6,5351,2,7885,118,14539
29089,835,10008,532,10144,699,10212,1091,10859,3152,15653
29091,46,28807,156,40400,114,37238,86,22027,127,21065
29093,44,11084,138,10630,167,10697,48,8041,179,8563
29095,125779,629266,161367,674158,152391,654880,84022,622732,24936,283522
29097,1009,86958,2267,117404,1551,104686,1049,78863,1368,89673
29099,954,146183,1798,218733,1354,198099,831,66377,1565,27878
