"county","jail_2014","jail_1970","jail_1980","jail_1990","jail_2000"
18009,772.5,42.03,24.98,55.13,782.91
18011,379.9,27.27,26.15,150.17,239.03
18013,373.79,73.56,97.92,251.44,417.23
18015,375.41,114.94,30.26,163.65,125.97
18017,511.03,86.27,36.05,152.62,270.88
18019,747.46,52.95,90.22,81.04,350.54
18021,421.84,49.77,28.43,108.92,109.75
18023,649.16,88.48,52.08,156.1,561.68
18025,917.97,21.75,52.74,104.13,329.45
18027,678.84,76.86,48.83,125.65,238.78
18029,787.5,17.39,55,180.78,453.68
18031,432.59,61.79,68.05,108.4,253.32
18033,250.44,22.07,33.19,155.84,201
18035,373.51,74.52,57.24,65.54,209.72
18037,234.16,22.86,36.49,83.28,209.98
18039,523.34,47.72,134.21,351.76,391.11
18041,761.24,37.77,90.99,328.73,647.56
18043,611.25,104.22,53.97,135.72,202.05
18045,189.14,46.56,73.04,183.92,214.53
18047,393.01,41.22,41.39,136.25,361.05
18049,652.28,99.01,120.58,244.28,275.81
18051,481.39,38.94,34.06,128.22,477.83
18053,593.09,84.41,76.74,342.65,550.91
18055,351.43,25.14,36.26,151.01,331.29
18057,133.14,21.3,68.49,162.28,218.84
18059,558.36,52.45,41.01,237.78,335.4
18061,663.08,49.59,81.5,136.68,460.54
18063,214.15,15.12,44.95,116.88,265.48
18065,414.7,78.52,69.52,110.54,399.96
18067,649.92,80.89,60.74,173.03,421.69
18069,380.06,58.57,51.23,245.89,406.77
18071,838.54,35.37,66.89,104.09,304.45
18073,326.02,40.37,85.75,182.93,178.71
18075,640.88,42.94,131.09,183.54,311.15
18077,559.4,96.82,73.22,131.83,247.51
18079,634.37,42.56,39.45,111.06,350.24
18081,311.79,50.96,43.05,154.91,195.38
18083,704.7,113.75,55.97,123.77,226.78
18085,505.03,27.25,56.09,154.45,300.62
18087,408.25,25.59,45.72,138.7,279.45
18089,312.09,58.54,74.54,120.44,93.31
18091,521,83,108.55,245.07,335.61
18093,490.97,21.35,43.85,261.52,531.34
18095,300.86,115.66,74.18,225.11,272.09
18097,300.53,150.51,116.98,230.57,404
18099,337.12,62.88,103.4,150.35,200.2
18101,697.71,77.68,71,237.49,706.34
18103,510.25,68.22,55.66,154.31,209.69
18105,231.03,111.17,48.13,166.85,227.63
18107,834.08,98.02,80.14,139.17,308.65
18109,697.81,57.51,53.09,151.01,378.47
18111,671.66,148.37,50.15,119.44,568.91
18113,472.27,37.82,49.96,81.5,378.39
18115,236.26,245.7,64.98,101.66,161.28
18117,261.57,129.33,107.41,358.28,589.68
18119,432.28,0,116.74,236.11,371.79
18121,479.06,47.1,129.07,157.67,619.25
18123,271.11,35.9,104.68,263.05,330.92
18125,564.62,0,0,221.97,530.21
18127,394.18,55.41,76.22,109.74,217.82
